model,method,gross_cap,fee_bps,final_net_equity,final_net_equity_per_gross_cap,max_drawdown_net,max_drawdown_per_gross_cap,sharpe_like_net,avg_active_gross_exposure,avg_gross_exposure_to_cap,positions,sleeves
Advanced PCA + optimizer,advanced_lambda_0p5,1.0,5,1.8778978690536412,1.8778978690536412,-0.25167135836169086,-0.25167135836169086,2.9122024400776896,0.8885626472159108,0.8885626472159108,4598,1711
Advanced PCA + optimizer,advanced_lambda_0p5,1.5,5,2.8168453934737854,1.8778969289825236,-0.37750703152192844,-0.2516713543479523,2.9122014091675195,1.332843989030126,0.8885626593534174,4598,1711
Advanced PCA + optimizer,advanced_lambda_0p5,2.0,5,3.755793137440041,1.8778965687200204,-0.503342737439527,-0.2516713687197635,2.9122007067845095,1.7771253199977792,0.8885626599988896,4598,1711
Advanced PCA + optimizer,advanced_lambda_0p5,2.5,5,4.715817012848683,1.8863268051394733,-0.6292860138778472,-0.2517144055511389,2.9666265241514114,2.2201434146522216,0.8880573658608887,4609,1718
Ordinary PCA equal-weight,ordinary,1.0,5,0.5752044413665988,0.5752044413665988,-0.4805690592149111,-0.4805690592149111,0.8007511469264205,0.9144298701109416,0.9144298701109416,8165,2545
Ordinary PCA equal-weight,ordinary,1.5,5,0.8628066620498926,0.5752044413665951,-0.7208535888223683,-0.48056905921491216,0.8007511469264164,1.3716448051664123,0.9144298701109416,8165,2545
Ordinary PCA equal-weight,ordinary,2.0,5,1.1504088827331975,0.5752044413665988,-0.9611381184298222,-0.4805690592149111,0.8007511469264205,1.8288597402218831,0.9144298701109416,8165,2545
Ordinary PCA equal-weight,ordinary,2.5,5,1.429494785216252,0.5717979140865008,-1.1938719128749067,-0.4775487651499627,0.7969664682256447,2.285848174634348,0.9143392698537391,8165,2545
