metric,ordinary_mean,advanced_mean,absolute_change,percent_change
avg_abs_pairwise_residual_corr,0.07621124419884731,0.07336564557396387,-0.0028455986248834414,-0.037338304272514174
residual_pc1_evr_corr,0.09234901246263301,0.08645106683745905,-0.005897945625173956,-0.06386582236123456
residual_pc1_evr_cov,0.12230371350234805,0.12114466588234135,-0.0011590476200066951,-0.009476798265691607
residual_corr_reduction_pct,,0.03575570720862508,,0.03575570720862508
residual_pc1_evr_reduction_pct,,0.0606328894466569,,0.0606328894466569
